"PassengerId","Survived.0","Survived.1"
1282,1,0
1283,0,1
1284,1,0
1285,1,0
1286,1,0
1287,0,1
1288,0,1
1289,0,1
1290,1,0
1291,1,0
1292,0,1
1293,1,0
1294,0,1
1295,1,0
1296,1,0
1297,0,1
1298,1,0
1299,1,0
1300,0.2,0.8
1301,0,1
1302,0.2,0.8
1303,0,1
1304,1,0
1305,1,0
1306,0,1
1307,1,0
1308,1,0
1309,1,0
